,Node 1,Node 2,Node 3,Node 4,Node 5,Node 6,Node 7,Node 8,Node 9
Time (raw),TDS (Volts),TDS (Volts),TDS (Volts),TDS (Volts),TDS (Volts),TDS (Volts),TDS (Volts),TDS (Volts),TDS (Volts)
0.002490714,0.0802,0.0578,0.077,0.0546,0.0546,0.0211,0.0286,0.0835,0.0835
0.00250083,0.0835,0.0578,0.077,0.0546,0.0578,0.0211,0.0215,0.0835,0.0835
0.002510946,0.0835,0.061,0.077,0.0578,0.0578,0.0282,0.0286,0.0835,0.0835
0.002521062,0.0867,0.0642,0.077,0.0578,0.061,0.0211,0.0286,0.0835,0.0835
0.002531177,0.0867,0.0642,0.077,0.0578,0.061,0.0247,0.0286,0.0835,0.0835
0.002541293,0.0867,0.0674,0.077,0.061,0.061,0.0282,0.0286,0.0835,0.0835
0.002551409,0.0867,0.0706,0.077,0.061,0.0642,0.0211,0.0215,0.0835,0.0835
0.002561525,0.0867,0.0706,0.077,0.061,0.0642,0.0211,0.0286,0.0835,0.0835
0.00257164,0.0899,0.0738,0.077,0.061,0.0642,0.0176,0.0215,0.0835,0.0835
0.002581756,0.0899,0.0738,0.077,0.0642,0.0642,0.0176,0.0215,0.0835,0.0835
0.002591873,0.0899,0.077,0.077,0.0642,0.0642,0.0247,0.0215,0.0835,0.0835
0.002601989,0.0899,0.077,0.077,0.0642,0.0642,0.0247,0.0215,0.0835,0.0835
0.002612104,0.0899,0.0802,0.077,0.0642,0.0642,0.0247,0.0215,0.0835,0.0835
0.00262222,0.0899,0.0835,0.077,0.0642,0.0642,0.0176,0.0215,0.0835,0.0835
0.002632336,0.0899,0.0835,0.0738,0.0674,0.0642,0.0176,0.0286,0.0835,0.0835
0.002642452,0.0899,0.0835,0.0738,0.0674,0.0642,0.0176,0.0286,0.0835,0.0835
0.002652567,0.0899,0.0867,0.0738,0.0674,0.0642,0.0247,0.0286,0.0835,0.0835
0.002662683,0.0899,0.0867,0.0738,0.0674,0.0642,0.0247,0.0286,0.0835,0.0835
0.002672799,0.0899,0.0867,0.0738,0.0674,0.0642,0.0176,0.0286,0.0835,0.0835
0.002682915,0.0899,0.0867,0.0738,0.0674,0.0642,0.0176,0.0286,0.0835,0.0835
0.002693031,0.0931,0.0899,0.0706,0.0674,0.0642,0.0176,0.0215,0.0835,0.0835
0.002703147,0.0931,0.0899,0.0706,0.0674,0.0642,0.0176,0.0286,0.0835,0.0835
0.002713263,0.0899,0.0931,0.0706,0.0674,0.0642,0.0176,0.0215,0.0835,0.0835
0.002723379,0.0899,0.0931,0.0706,0.0674,0.0642,0.0176,0.0215,0.0835,0.0835
0.002733495,0.0931,0.0931,0.0706,0.0674,0.0642,0.0176,0.0215,0.0835,0.0835
0.00274361,0.0931,0.0931,0.0674,0.0674,0.0642,0.0176,0.0286,0.0835,0.0835
